date,revenue,expenses,profit
2022-04-01,11000,7500,3500
2022-05-01,13000,8200,4800
2022-06-01,16000,10500,6000
2022-07-01,10500,7200,3300
2022-08-01,12500,8500,4000
2022-09-01,15500,11000,4500
2022-10-01,11500,7800,3700
2022-11-01,13500,8900,4600
2022-12-01,16500,11500,5000
2023-01-01,12000,8200,3800
2023-02-01,14000,9200,4800
2023-03-01,17000,12000,6000
2023-04-01,12500,8500,4000
2023-05-01,14500,9500,5000
2023-06-01,17500,12500,6000
2023-07-01,13000,8800,4200
2023-08-01,15000,9800,5200
2023-09-01,18000,13000,7000
2023-10-01,13500,9200,4300
2023-11-01,15500,10500,5000
2023-12-01,18500,13500,6000
2024-01-01,14000,9500,4500
2024-02-01,16000,11000,5000
2024-03-01,19000,14000,7000
2024-04-01,14500,10000,4500
2024-05-01,16500,11500,5000
2024-06-01,19500,14500,7000
2024-07-01,15000,10500,4500
2024-08-01,17000,12000,5000
2024-09-01,20000,15000,8000
2024-10-01,15500,11000,4500
2024-11-01,17500,12500,5000
2024-12-01,20500,15500,7000
2025-01-01,16000,11500,4500
2025-02-01,18000,13000,5000
2025-03-01,21000,16000,7000
2025-04-01,16500,12000,4500
2025-05-01,18500,13500,5000
2025-06-01,21500,16500,7000
2025-07-01,17000,12500,4500
2025-08-01,19000,14000,5000
2025-09-01,22000,17000,8000
2025-10-01,17500,13000,4500
2025-11-01,19500,14500,5000
2025-12-01,22500,17500,7000
